review_id,title,year,journal,n_studies,population,intervention,comparator,outcome,effect_size,ci_lower,ci_upper,quality_rating,database_source
SR08197,Single election number stand onto late apply.,2008,PLOS ONE,35,Pregnant women,statins,no therapy,hospitalization,0.52,0.45,0.68,Critically Low,Scopus
SR08198,As civil talk budget.,2023,Nature,30,Smokers,behavioral therapy,low dose,symptom reduction,1.55,1.25,1.61,Low,Embase
SR08199,Official artist board cost per.,2014,Nature,73,ICU patients,ACE inhibitors,standard care,weight loss,0.61,0.47,0.82,Low,Web of Science
SR08200,Actually pay society majority.,2001,NEJM,64,Diabetics,placebo,cephalosporin,mortality,0.81,0.6,1.07,Low,Scopus
SR08201,National my employee too series level as safe.,2012,JAMA,66,Children,ACE inhibitors,no therapy,smoking cessation,0.52,0.32,0.65,High,Cochrane
SR08202,Happy involve usually city whole matter.,2005,JAMA,84,Pregnant women,statins,none,symptom reduction,0.89,0.61,1.07,Critically Low,PubMed
SR08203,Road ago than response another.,2018,BMJ,42,Adults,placebo,placebo,smoking cessation,1.54,1.47,1.72,Low,Scopus
SR08204,Specific minute employee think war contain clearly.,2009,BMJ,100,ICU patients,carbapenem,none,hospitalization,0.8,0.7,0.88,Critically Low,Web of Science
SR08205,Data painting between star painting move.,2016,JAMA,64,Adults,statins,placebo,weight loss,0.6,0.53,0.8,Low,Embase
SR08206,Sense standard since production son direction.,2022,BMJ,44,ICU patients,placebo,no therapy,hospitalization,0.82,0.71,1.1,High,Web of Science
SR08207,Return pattern treatment.,2008,JAMA,56,Elderly,placebo,standard care,smoking cessation,1.32,1.23,1.45,Critically Low,PubMed
SR08208,Food alone growth case town student represent.,2015,Lancet,16,Smokers,mRNA vaccine,placebo,infection rate,0.86,0.67,1.01,Low,Cochrane
SR08209,Since hit economy maybe government consider.,2005,Science,92,ICU patients,placebo,none,symptom reduction,1.9,1.7,2.01,Critically Low,Cochrane
SR08210,Follow him entire nation.,2002,Nature,47,ICU patients,mRNA vaccine,none,symptom reduction,1.27,1.08,1.4,Low,Web of Science
SR08211,Religious wall experience.,2018,BMJ,62,Pregnant women,placebo,cephalosporin,infection rate,1.4,1.19,1.67,Low,Ovid
SR08212,Style eight seem.,2022,NEJM,47,Elderly,mRNA vaccine,standard care,symptom reduction,0.84,0.64,1.09,Critically Low,Scopus
SR08213,War sense else suggest event both amount baby.,2012,JAMA,50,Children,statins,none,symptom reduction,1.73,1.47,1.97,High,PubMed
SR08214,Sell support out eye realize hair.,2011,Nature,78,Children,mRNA vaccine,no therapy,hospitalization,0.94,0.73,1.17,Moderate,PubMed
SR08215,Always upon common strategy condition.,2019,Nature,57,Smokers,mRNA vaccine,no therapy,weight loss,1.26,1.14,1.45,Low,LOVE
SR08216,Not factor worker character much whole fund.,2009,Nature,70,Smokers,ACE inhibitors,none,smoking cessation,0.52,0.42,0.79,Low,PubMed
SR08217,Next including owner culture.,2007,Lancet,17,Elderly,statins,standard care,symptom reduction,0.76,0.49,0.94,Critically Low,PubMed
SR08218,Oil artist model learn a everything us.,2008,Lancet,29,Smokers,mRNA vaccine,none,infection rate,1.53,1.33,1.81,High,Web of Science
SR08219,Your too step late.,2018,Nature,69,Smokers,metformin,none,infection rate,1.32,1.18,1.43,Critically Low,Cochrane
SR08220,Career sea thank rich serve day rest.,2019,Science,27,Diabetics,ACE inhibitors,cephalosporin,infection rate,1.15,1.05,1.24,High,Scopus
SR08221,Son instead between old.,2015,BMJ,49,Smokers,placebo,cephalosporin,hospitalization,0.77,0.51,0.84,Moderate,Cochrane
SR08222,She some forget follow research.,2006,PLOS ONE,66,Diabetics,statins,standard care,smoking cessation,1.18,0.99,1.35,Critically Low,Cochrane
SR08223,Reach wall approach edge.,2020,Science,64,Pregnant women,metformin,placebo,weight loss,1.05,0.77,1.14,Critically Low,Embase
SR08224,Race remain commercial house.,2012,PLOS ONE,41,Children,behavioral therapy,none,hospitalization,1.96,1.66,2.03,High,Web of Science
SR08225,Church four well even fight ahead office.,2025,NEJM,94,Pregnant women,mRNA vaccine,no therapy,smoking cessation,0.94,0.77,1.02,High,Scopus
SR08226,Land shake find source professor they beautiful be.,2006,BMJ,59,Adults,behavioral therapy,none,smoking cessation,1.84,1.59,1.97,Critically Low,Ovid
SR08227,Clearly anyone care message number ground.,2015,PLOS ONE,31,Smokers,mRNA vaccine,none,weight loss,1.33,1.14,1.45,Moderate,Ovid
SR08228,Write analysis produce once bag nature.,2017,NEJM,84,Smokers,behavioral therapy,standard care,mortality,1.12,1.0,1.24,Critically Low,Web of Science
SR08229,Education economic site position.,2025,Nature,61,Diabetics,mRNA vaccine,placebo,symptom reduction,1.38,1.21,1.62,High,Embase
SR08230,Door game while camera recently live leave again.,2019,JAMA,84,Pregnant women,mRNA vaccine,cephalosporin,mortality,1.42,1.28,1.49,Critically Low,Embase
SR08231,Tell wear bag somebody mission new.,2012,NEJM,17,Elderly,statins,no therapy,weight loss,0.67,0.53,0.91,Moderate,Scopus
SR08232,Option school PM nice determine.,2016,NEJM,28,Elderly,ACE inhibitors,placebo,smoking cessation,1.37,1.22,1.45,Moderate,Cochrane
SR08233,None program scene material.,2013,JAMA,35,Children,statins,standard care,mortality,1.62,1.38,1.86,Moderate,Cochrane
SR08234,Cold understand want free.,2004,JAMA,65,Children,placebo,no therapy,hospitalization,1.77,1.52,1.9,Low,Ovid
SR08235,Two human see land someone.,2021,PLOS ONE,98,Adults,placebo,placebo,infection rate,0.62,0.56,0.72,Low,Ovid
SR08236,Ten vote firm get.,2003,PLOS ONE,88,Smokers,carbapenem,placebo,smoking cessation,1.24,1.09,1.31,Low,Ovid
SR08237,Fine heart similar mention necessary.,2012,Nature,33,Pregnant women,metformin,placebo,symptom reduction,1.0,0.89,1.16,Critically Low,PubMed
SR08238,Professor while minute phone.,2007,BMJ,20,Smokers,carbapenem,no therapy,weight loss,0.97,0.87,1.2,Moderate,Ovid
SR08239,Miss since community discover fly.,2000,JAMA,65,Diabetics,mRNA vaccine,standard care,weight loss,0.97,0.81,1.18,Low,LOVE
SR08240,Likely drop quality win break.,2017,Lancet,77,Children,mRNA vaccine,none,weight loss,0.59,0.46,0.81,High,Cochrane
SR08241,Pattern see benefit carry.,2003,PLOS ONE,62,Diabetics,placebo,standard care,smoking cessation,1.15,0.94,1.28,High,Cochrane
SR08242,Start human will peace TV view.,2015,JAMA,74,Adults,placebo,placebo,symptom reduction,1.91,1.66,2.1,Low,Scopus
SR08243,Parent particularly artist at about close week.,2022,Science,27,Smokers,ACE inhibitors,cephalosporin,infection rate,0.93,0.68,1.15,Moderate,LOVE
SR08244,Among wind agency figure current sell pattern.,2006,NEJM,62,Smokers,behavioral therapy,no therapy,infection rate,1.55,1.5,1.63,Low,Ovid
SR08245,Cultural sister debate during hard military.,2018,Lancet,74,Elderly,behavioral therapy,no therapy,infection rate,1.21,0.97,1.31,Moderate,LOVE
SR08246,Guess popular action once seat.,2002,JAMA,55,Children,carbapenem,placebo,symptom reduction,1.97,1.68,2.17,High,PubMed
SR08247,Order carry state trouble upon may country mouth.,2021,JAMA,10,Children,carbapenem,none,hospitalization,1.15,0.98,1.27,Moderate,Scopus
SR08248,Two price form discussion.,2010,PLOS ONE,31,Smokers,statins,no therapy,hospitalization,1.17,1.08,1.43,High,Web of Science
SR08249,Direction two story kind international.,2013,Science,20,Smokers,behavioral therapy,none,infection rate,1.17,1.01,1.41,High,Ovid
SR08250,Since when according nation.,2004,Lancet,46,Adults,ACE inhibitors,no therapy,smoking cessation,0.62,0.55,0.88,Moderate,Scopus
SR08251,Energy back everyone couple front second question.,2016,JAMA,88,Diabetics,behavioral therapy,standard care,smoking cessation,1.82,1.61,1.96,Moderate,PubMed
SR08252,Anyone thought tell walk.,2023,PLOS ONE,17,Elderly,placebo,none,weight loss,1.28,1.11,1.53,Moderate,PubMed
SR08253,Create everyone party according policy mean trial.,2001,Lancet,48,Elderly,behavioral therapy,none,weight loss,0.9,0.66,1.11,Critically Low,PubMed
SR08254,Skill nothing player beautiful.,2014,Lancet,57,Smokers,statins,cephalosporin,hospitalization,0.94,0.75,1.12,Low,Ovid
SR08255,Thought two election American.,2020,BMJ,11,Pregnant women,mRNA vaccine,low dose,weight loss,0.8,0.54,1.1,High,Web of Science
SR08256,Value church administration rock page.,2017,PLOS ONE,30,Pregnant women,carbapenem,standard care,mortality,0.74,0.69,0.79,High,Cochrane
SR08257,She tell work increase many.,2004,BMJ,75,Children,statins,none,smoking cessation,0.83,0.55,1.01,High,Web of Science
SR08258,Because these carry show indicate your.,2000,Nature,22,Diabetics,metformin,none,weight loss,0.71,0.48,0.96,Moderate,Scopus
SR08259,Care herself lay especially car concern.,2010,Science,75,Smokers,metformin,cephalosporin,smoking cessation,1.62,1.56,1.77,Critically Low,Cochrane
SR08260,Financial phone pretty letter move amount wear.,2021,Science,100,Pregnant women,carbapenem,low dose,smoking cessation,0.51,0.41,0.63,Moderate,Embase
SR08261,Begin military case attack admit be dinner notice.,2006,Science,87,Adults,statins,no therapy,infection rate,1.03,0.83,1.17,Low,Ovid
SR08262,More continue bad fall.,2018,Science,57,Pregnant women,statins,cephalosporin,infection rate,1.92,1.75,2.18,Low,Ovid
SR08263,Although allow season.,2021,Nature,58,Diabetics,ACE inhibitors,low dose,hospitalization,0.55,0.3,0.69,Critically Low,Cochrane
SR08264,Along glass will.,2019,Nature,30,Diabetics,placebo,placebo,infection rate,0.98,0.9,1.04,Moderate,Ovid
SR08265,Issue home add nothing light anyone.,2022,Lancet,10,Elderly,statins,low dose,hospitalization,1.05,0.76,1.29,Moderate,Ovid
SR08266,Watch material threat such.,2018,BMJ,94,Elderly,placebo,standard care,weight loss,1.49,1.21,1.72,Critically Low,Scopus
SR08267,Culture market know wonder speech middle media economic.,2025,Science,66,ICU patients,placebo,placebo,infection rate,1.17,0.89,1.42,Moderate,Cochrane
SR08268,Side key career increase election build.,2016,Lancet,13,Children,mRNA vaccine,cephalosporin,weight loss,0.82,0.71,0.96,Moderate,Cochrane
SR08269,Art relate individual.,2018,JAMA,46,Elderly,placebo,placebo,hospitalization,1.18,0.99,1.39,Low,Web of Science
SR08270,Again listen operation choose why hear.,2019,BMJ,20,ICU patients,mRNA vaccine,standard care,mortality,1.14,0.87,1.22,Low,Cochrane
SR08271,Evidence protect like expect.,2022,NEJM,15,Pregnant women,ACE inhibitors,no therapy,symptom reduction,1.52,1.33,1.78,High,Scopus
SR08272,Little you book public dog.,2021,BMJ,42,Pregnant women,carbapenem,standard care,infection rate,0.62,0.47,0.79,Critically Low,Scopus
SR08273,Tree push news ability magazine want boy.,2008,Nature,13,Elderly,metformin,no therapy,smoking cessation,0.71,0.5,0.88,High,Web of Science
SR08274,The pretty thousand theory affect thousand indicate.,2016,NEJM,37,Adults,statins,low dose,mortality,1.93,1.81,2.08,Low,Web of Science
SR08275,Piece risk pressure answer.,2015,Science,14,Children,statins,low dose,infection rate,1.46,1.39,1.69,Critically Low,Web of Science
SR08276,Former travel coach return letter.,2011,Lancet,77,Children,ACE inhibitors,low dose,mortality,1.85,1.6,1.98,Critically Low,Scopus
SR08277,Guy identify evening collection.,2018,Nature,99,Children,ACE inhibitors,none,infection rate,1.54,1.32,1.64,Critically Low,Embase
SR08278,Blood agent collection professor result education happy growth.,2002,NEJM,47,Adults,carbapenem,cephalosporin,smoking cessation,1.67,1.44,1.83,Moderate,Embase
SR08279,Area bad within red.,2017,JAMA,15,Adults,placebo,standard care,smoking cessation,1.46,1.29,1.68,Low,Scopus
SR08280,Might particular exactly.,2022,PLOS ONE,93,Smokers,behavioral therapy,cephalosporin,hospitalization,0.98,0.78,1.18,Moderate,PubMed
SR08281,Fill southern head save culture family.,2023,PLOS ONE,62,Diabetics,statins,none,smoking cessation,1.7,1.53,1.8,Moderate,Cochrane
SR08282,Lawyer military education.,2007,NEJM,31,Elderly,metformin,none,hospitalization,1.51,1.33,1.6,Moderate,Web of Science
SR08283,Build example week instead.,2014,Lancet,61,Adults,mRNA vaccine,none,weight loss,0.84,0.72,1.12,High,Embase
SR08284,Peace lose college movie prepare right.,2011,Lancet,96,ICU patients,ACE inhibitors,none,infection rate,1.11,0.84,1.33,High,Web of Science
SR08285,Nice anyone difficult finish do brother.,2015,Nature,47,Pregnant women,ACE inhibitors,placebo,smoking cessation,0.67,0.61,0.82,High,Ovid
SR08286,Black well chance issue.,2020,Science,76,Children,ACE inhibitors,standard care,hospitalization,1.55,1.34,1.81,High,Ovid
SR08287,Plant wish better.,2011,Science,64,Elderly,ACE inhibitors,standard care,symptom reduction,0.99,0.85,1.14,High,LOVE
SR08288,Age we no us hand experience small.,2014,BMJ,14,Diabetics,mRNA vaccine,no therapy,weight loss,1.12,0.86,1.23,High,Embase
SR08289,Couple foreign hand life account.,2021,Lancet,10,Children,statins,placebo,mortality,1.56,1.47,1.67,Critically Low,Ovid
SR08290,Whole particular actually three shoulder.,2022,BMJ,52,Smokers,mRNA vaccine,cephalosporin,smoking cessation,1.85,1.56,2.0,Critically Low,Embase
SR08291,Government country hold enjoy.,2024,Nature,22,Adults,behavioral therapy,cephalosporin,smoking cessation,1.86,1.79,2.11,Critically Low,Ovid
SR08292,Try use exist position majority wonder.,2019,BMJ,79,Pregnant women,metformin,cephalosporin,symptom reduction,0.66,0.49,0.71,High,Scopus
SR08293,Science knowledge put.,2015,PLOS ONE,21,Diabetics,statins,none,mortality,0.87,0.62,1.02,High,Embase
SR08294,Number you usually.,2013,Lancet,75,Elderly,metformin,low dose,mortality,0.8,0.57,0.98,High,Embase
SR08295,City course protect hope risk rule prove.,2011,NEJM,59,Elderly,metformin,no therapy,symptom reduction,0.53,0.35,0.64,Critically Low,Scopus
SR08296,Third ready peace still language girl church.,2013,BMJ,89,ICU patients,carbapenem,low dose,mortality,0.95,0.78,1.11,High,Ovid
SR08297,Right act most six.,2003,Nature,41,Smokers,metformin,low dose,weight loss,1.76,1.67,1.93,Low,Cochrane
SR08298,Wish coach style knowledge pass television remember also.,2015,Science,31,Diabetics,behavioral therapy,cephalosporin,mortality,1.55,1.28,1.64,High,Web of Science
SR08299,Actually woman single statement.,2000,JAMA,13,Diabetics,carbapenem,no therapy,weight loss,1.63,1.43,1.75,High,Cochrane
SR08300,Everyone drive forward inside civil kid agency.,2015,BMJ,74,Elderly,behavioral therapy,placebo,infection rate,1.39,1.28,1.59,Moderate,Cochrane
SR08301,Reveal series hundred knowledge system culture happen.,2001,BMJ,80,Smokers,ACE inhibitors,no therapy,mortality,1.45,1.34,1.62,High,Ovid
SR08302,Now source citizen tree trade commercial bring compare.,2002,NEJM,42,Pregnant women,carbapenem,none,weight loss,0.58,0.5,0.64,Low,LOVE
SR08303,Purpose one determine war.,2003,Science,45,Smokers,carbapenem,placebo,infection rate,1.32,1.2,1.4,Moderate,Web of Science
SR08304,Sister their year another.,2014,NEJM,10,Children,carbapenem,cephalosporin,infection rate,0.91,0.84,1.12,Critically Low,Ovid
SR08305,Authority so financial energy establish.,2001,JAMA,89,ICU patients,statins,none,weight loss,1.48,1.18,1.67,Low,Ovid
SR08306,Beautiful difficult stock.,2020,BMJ,15,Smokers,metformin,placebo,smoking cessation,1.75,1.59,1.84,Low,Ovid
SR08307,Serious live suffer price.,2007,Lancet,73,Children,placebo,placebo,symptom reduction,1.51,1.4,1.6,Low,PubMed
SR08308,Lay make environment involve hand only society.,2024,JAMA,58,Children,ACE inhibitors,cephalosporin,symptom reduction,1.03,0.76,1.27,Low,PubMed
SR08309,Similar tax mean character throw PM view nature.,2014,Nature,66,Elderly,carbapenem,cephalosporin,weight loss,0.73,0.64,0.96,High,Scopus
SR08310,Policy somebody throughout voice.,2016,Lancet,97,Pregnant women,mRNA vaccine,no therapy,weight loss,0.89,0.76,1.13,Critically Low,Web of Science
SR08311,Garden certainly method speech.,2019,BMJ,29,Pregnant women,mRNA vaccine,standard care,hospitalization,0.56,0.35,0.79,Critically Low,PubMed
SR08312,Ten heavy best accept relate develop you.,2022,Lancet,53,Adults,placebo,cephalosporin,smoking cessation,1.51,1.26,1.75,Critically Low,Ovid
SR08313,Who collection happen discuss.,2013,Nature,33,Smokers,mRNA vaccine,none,mortality,0.82,0.68,1.01,Low,PubMed
SR08314,Much occur citizen more statement particular suffer.,2000,BMJ,36,Pregnant women,carbapenem,cephalosporin,smoking cessation,1.15,0.98,1.26,High,PubMed
SR08315,Though fine method check true.,2008,PLOS ONE,57,Adults,placebo,low dose,hospitalization,0.77,0.62,0.87,Moderate,PubMed
SR08316,Meet vote summer debate author far movie.,2009,PLOS ONE,30,Adults,placebo,no therapy,infection rate,0.83,0.63,0.97,Critically Low,Scopus
SR08317,Opportunity away where draw risk.,2024,JAMA,12,Children,metformin,low dose,smoking cessation,1.51,1.45,1.6,Critically Low,PubMed
SR08318,Main term learn seem.,2012,PLOS ONE,64,Elderly,statins,no therapy,hospitalization,0.59,0.42,0.84,Moderate,Cochrane
SR08319,Catch stop plant entire.,2016,Lancet,89,Children,placebo,no therapy,infection rate,1.46,1.32,1.57,Low,PubMed
SR08320,Together degree civil Mr red.,2008,Nature,71,ICU patients,carbapenem,standard care,smoking cessation,1.19,0.92,1.3,Moderate,Web of Science
SR08321,Media whom director image.,2004,Nature,96,Children,mRNA vaccine,cephalosporin,hospitalization,1.97,1.91,2.15,High,LOVE
SR08322,Any behavior understand property pay theory.,2002,JAMA,38,Adults,mRNA vaccine,cephalosporin,mortality,1.69,1.53,1.92,High,Embase
SR08323,Lose include its Congress teach.,2012,JAMA,10,Diabetics,mRNA vaccine,standard care,symptom reduction,1.7,1.64,1.78,Moderate,Cochrane
SR08324,Apply question chance first.,2003,BMJ,24,Elderly,placebo,placebo,smoking cessation,1.99,1.79,2.25,Moderate,PubMed
SR08325,Service interview wear hair recent cause seven.,2022,Lancet,77,Elderly,placebo,cephalosporin,mortality,0.73,0.63,0.96,Low,Embase
SR08326,Agency dog expect mean option.,2022,Nature,90,Diabetics,carbapenem,low dose,symptom reduction,1.12,1.04,1.18,Low,Cochrane
SR08327,Number success state as seek.,2015,Science,31,ICU patients,metformin,standard care,smoking cessation,0.56,0.4,0.68,High,Embase
SR08328,Work build create girl player anyone the the.,2015,BMJ,52,Smokers,placebo,low dose,weight loss,0.76,0.55,0.93,Low,Scopus
SR08329,Thus avoid camera prevent fall TV than say.,2001,NEJM,32,ICU patients,behavioral therapy,no therapy,symptom reduction,1.22,0.94,1.38,High,LOVE
SR08330,Morning as morning all six share.,2002,Science,28,Diabetics,carbapenem,no therapy,hospitalization,1.02,0.72,1.21,Moderate,Ovid
SR08331,Stuff can choice sure you.,2012,Lancet,54,ICU patients,metformin,no therapy,mortality,1.79,1.56,2.01,Moderate,Web of Science
SR08332,Base tree discussion weight.,2024,Lancet,93,ICU patients,mRNA vaccine,cephalosporin,smoking cessation,1.41,1.13,1.5,Critically Low,Cochrane
SR08333,Loss statement seek drop.,2015,BMJ,91,ICU patients,behavioral therapy,none,smoking cessation,1.28,1.0,1.56,Low,Cochrane
SR08334,Minute yet able party.,2013,Nature,13,Elderly,behavioral therapy,none,mortality,1.03,0.94,1.31,High,LOVE
SR08335,Visit show painting political customer agree.,2022,Lancet,14,Elderly,statins,no therapy,mortality,1.97,1.84,2.17,Low,PubMed
SR08336,Which western physical guess stage including yes score.,2013,NEJM,79,Pregnant women,carbapenem,low dose,mortality,1.84,1.65,2.08,Moderate,PubMed
SR08337,Line thus direction social civil.,2014,PLOS ONE,90,Children,statins,cephalosporin,hospitalization,1.72,1.48,1.92,Critically Low,LOVE
SR08338,Dark also term per concern yeah.,2000,NEJM,10,Diabetics,mRNA vaccine,standard care,smoking cessation,1.35,1.3,1.53,Critically Low,Ovid
SR08339,Early read plant yeah.,2010,NEJM,49,ICU patients,placebo,placebo,symptom reduction,1.67,1.55,1.77,High,LOVE
SR08340,College allow catch respond tree region member.,2025,NEJM,80,Pregnant women,behavioral therapy,none,symptom reduction,0.87,0.67,1.1,Moderate,Cochrane
SR08341,Common baby free wish.,2003,Lancet,78,Adults,behavioral therapy,standard care,smoking cessation,0.67,0.41,0.85,Low,PubMed
SR08342,Seat else it still do.,2013,JAMA,63,Pregnant women,placebo,no therapy,hospitalization,1.59,1.46,1.65,Critically Low,LOVE
SR08343,Eight art run half last.,2016,Lancet,84,ICU patients,carbapenem,no therapy,symptom reduction,0.91,0.66,1.19,Low,LOVE
SR08344,Whatever early commercial team.,2020,Lancet,99,Smokers,behavioral therapy,low dose,infection rate,0.88,0.66,1.1,Moderate,Cochrane
SR08345,Language president whether quite concern glass.,2005,Nature,27,Children,statins,standard care,infection rate,0.7,0.57,0.89,Critically Low,Cochrane
SR08346,Machine economic eight art identify group certain environmental.,2013,JAMA,76,ICU patients,carbapenem,standard care,smoking cessation,1.27,1.15,1.34,Moderate,Embase
SR08347,Threat material firm.,2013,Nature,33,Adults,statins,low dose,mortality,1.14,1.07,1.26,Critically Low,Web of Science
SR08348,Can we audience study your.,2018,NEJM,81,Children,carbapenem,placebo,infection rate,1.59,1.52,1.79,Moderate,Scopus
SR08349,Return when specific.,2025,Nature,79,Elderly,behavioral therapy,low dose,hospitalization,1.82,1.7,2.1,High,Scopus
SR08350,Somebody smile cell president itself call.,2013,Nature,25,Smokers,metformin,placebo,smoking cessation,1.49,1.26,1.61,Low,Cochrane
SR08351,Card value way.,2024,PLOS ONE,22,Adults,carbapenem,low dose,infection rate,1.75,1.54,2.04,Critically Low,Embase
SR08352,Newspaper ten pay.,2004,NEJM,92,Children,placebo,cephalosporin,smoking cessation,0.86,0.7,1.02,Moderate,Scopus
SR08353,Like challenge respond bring Mrs court strategy.,2021,NEJM,12,Pregnant women,metformin,no therapy,mortality,1.45,1.38,1.54,High,Embase
SR08354,Less something sea treatment.,2000,NEJM,97,Diabetics,behavioral therapy,standard care,infection rate,0.66,0.48,0.73,Critically Low,Web of Science
SR08355,Size different note far similar move.,2011,NEJM,100,Smokers,behavioral therapy,standard care,smoking cessation,1.26,1.13,1.52,Low,Web of Science
SR08356,Important war foreign sport world whether.,2024,NEJM,29,Smokers,statins,standard care,symptom reduction,0.8,0.7,0.87,Moderate,PubMed
SR08357,Of add sell.,2010,Lancet,11,Pregnant women,carbapenem,standard care,infection rate,1.49,1.25,1.69,High,LOVE
SR08358,Claim speak style these score talk.,2015,NEJM,12,Adults,mRNA vaccine,cephalosporin,symptom reduction,1.6,1.37,1.81,High,Cochrane
SR08359,Same product tree surface upon know official.,2003,Nature,27,Elderly,mRNA vaccine,no therapy,infection rate,1.41,1.35,1.54,Low,Cochrane
SR08360,Successful sign certainly really whole spring often.,2015,JAMA,14,ICU patients,mRNA vaccine,cephalosporin,smoking cessation,1.25,1.09,1.55,Critically Low,PubMed
SR08361,Range space size.,2025,Nature,71,Children,behavioral therapy,placebo,weight loss,1.58,1.32,1.71,Critically Low,Cochrane
SR08362,Natural approach space most we now.,2005,Science,28,Adults,metformin,no therapy,mortality,1.53,1.36,1.68,High,LOVE
SR08363,Fast green myself message audience.,2012,Science,89,Pregnant women,mRNA vaccine,cephalosporin,mortality,1.26,1.12,1.38,High,Embase
SR08364,Forward strategy be address.,2008,JAMA,33,Smokers,statins,standard care,hospitalization,0.62,0.44,0.9,Moderate,PubMed
SR08365,Discussion bad leave.,2000,Science,60,Adults,metformin,no therapy,smoking cessation,1.91,1.62,2.2,Critically Low,Embase
SR08366,Night statement third there.,2024,BMJ,18,Pregnant women,carbapenem,low dose,smoking cessation,1.39,1.24,1.66,Moderate,Cochrane
SR08367,Around because project call sign.,2001,Nature,80,Smokers,mRNA vaccine,low dose,symptom reduction,1.84,1.56,1.9,Low,LOVE
SR08368,Experience raise entire huge.,2001,BMJ,13,Smokers,carbapenem,no therapy,smoking cessation,1.3,1.12,1.5,Low,Cochrane
SR08369,Economy then daughter wide.,2012,BMJ,36,Children,carbapenem,no therapy,infection rate,1.1,1.01,1.31,Moderate,Ovid
SR08370,Available financial fear radio space list hot.,2020,NEJM,79,Elderly,metformin,low dose,smoking cessation,1.76,1.7,1.81,High,Embase
SR08371,Sport piece must general pull certainly single.,2021,Nature,48,Adults,statins,low dose,symptom reduction,1.42,1.33,1.54,Low,Cochrane
SR08372,Owner win left amount.,2010,PLOS ONE,49,ICU patients,behavioral therapy,low dose,infection rate,0.57,0.33,0.76,Low,Web of Science
SR08373,Avoid poor account beat peace.,2016,JAMA,76,Pregnant women,mRNA vaccine,none,mortality,1.89,1.61,1.97,High,Embase
SR08374,Head I why significant training remember executive.,2022,BMJ,31,ICU patients,placebo,standard care,smoking cessation,1.78,1.53,1.93,Moderate,LOVE
SR08375,Center analysis sure crime action.,2011,PLOS ONE,63,Adults,placebo,cephalosporin,hospitalization,0.78,0.57,0.91,Low,LOVE
SR08376,Explain campaign reason should person different.,2016,Science,27,Diabetics,placebo,no therapy,hospitalization,0.89,0.82,0.98,Moderate,Cochrane
SR08377,Drop full tax especially benefit.,2011,PLOS ONE,60,Elderly,ACE inhibitors,no therapy,smoking cessation,0.85,0.71,1.07,Low,Cochrane
SR08378,Yourself station sell environment building eye on.,2004,Nature,40,Smokers,ACE inhibitors,no therapy,weight loss,0.97,0.82,1.24,Low,PubMed
SR08379,Beautiful person else relationship model.,2006,PLOS ONE,55,Pregnant women,behavioral therapy,none,weight loss,1.61,1.47,1.83,Critically Low,LOVE
SR08380,Question reduce food exist growth foreign.,2007,PLOS ONE,60,Smokers,mRNA vaccine,no therapy,hospitalization,1.13,0.89,1.28,Low,PubMed
SR08381,Call forget analysis.,2010,NEJM,92,Elderly,statins,low dose,weight loss,0.61,0.32,0.8,High,Cochrane
SR08382,Offer teach staff term very drive avoid.,2019,JAMA,44,Diabetics,ACE inhibitors,standard care,mortality,0.66,0.48,0.93,Moderate,Cochrane
SR08383,Tonight herself truth.,2011,NEJM,15,ICU patients,behavioral therapy,placebo,mortality,0.69,0.62,0.82,Critically Low,Cochrane
SR08384,Response energy audience model together.,2015,Science,24,ICU patients,mRNA vaccine,cephalosporin,smoking cessation,1.67,1.43,1.96,Low,Web of Science
SR08385,Fear government whole point.,2006,Nature,71,Diabetics,metformin,none,infection rate,0.76,0.62,1.01,Critically Low,PubMed
SR08386,Low modern add way the help.,2016,BMJ,98,Children,statins,cephalosporin,mortality,1.28,1.23,1.44,Critically Low,Embase
SR08387,Offer those knowledge wife affect.,2013,Nature,81,Adults,carbapenem,no therapy,hospitalization,1.16,1.01,1.27,Critically Low,PubMed
SR08388,Quickly among star apply.,2001,BMJ,95,Adults,mRNA vaccine,low dose,smoking cessation,1.39,1.16,1.69,Critically Low,LOVE
SR08389,Leg take size to.,2002,NEJM,93,Adults,placebo,placebo,mortality,0.63,0.53,0.76,High,LOVE
SR08390,Among guy year on wrong step.,2003,Science,42,Diabetics,carbapenem,cephalosporin,infection rate,1.29,1.09,1.36,High,Scopus
SR08391,Crime allow benefit market set summer window structure.,2022,PLOS ONE,87,Pregnant women,mRNA vaccine,no therapy,smoking cessation,0.68,0.46,0.92,Critically Low,Cochrane
SR08392,Left rich rest new.,2010,Science,83,Diabetics,behavioral therapy,none,hospitalization,1.76,1.47,1.99,Low,Embase
SR08393,Picture late chair.,2021,JAMA,31,Adults,ACE inhibitors,low dose,hospitalization,1.41,1.26,1.47,Moderate,Scopus
SR08394,Race administration yet hair tend window.,2008,NEJM,19,Children,placebo,standard care,weight loss,1.18,1.01,1.44,Low,Cochrane
SR08395,Could news task hundred.,2003,BMJ,46,ICU patients,placebo,placebo,smoking cessation,1.1,0.86,1.34,Moderate,Web of Science
SR08396,Create financial ago brother worker among.,2013,Nature,30,Diabetics,metformin,cephalosporin,mortality,0.64,0.52,0.94,High,Cochrane
SR08397,No lawyer population catch short.,2016,Nature,21,Pregnant women,ACE inhibitors,no therapy,hospitalization,1.87,1.7,1.95,Moderate,LOVE
